raw,nickname,visa_type,location,major,status,submit_date,complete_date,reported_days,calc_days,observed_days,parse_ok,parse_issue,key
Update等签证等得F1RenewalBeiJingECEPending2025-12-290000-00-0088,等签证等得,F1Renewal,BeiJing,ECE,Pending,2025-12-29,0000-00-00,88,,88,1,,等签证等得|F1Renewal|2025-12-29
UpdatebzF1RenewalBeiJingBioStatClear2025-12-122026-03-26104,bz,F1Renewal,BeiJing,BioStat,Clear,2025-12-12,2026-03-26,104,104,,1,,bz|F1Renewal|2025-12-12
UpdateteapotF1NewBeiJingCSPending2026-02-030000-00-0052,teapot,F1New,BeiJing,CS,Pending,2026-02-03,0000-00-00,52,,52,1,,teapot|F1New|2026-02-03
UpdatexuyanwenF1NewOthersBMEClear2026-02-092026-02-101,xuyanwen,F1New,Others,BME,Clear,2026-02-09,2026-02-10,1,1,,1,,xuyanwen|F1New|2026-02-09
UpdateAAAbandonF1RenewalBeiJingInitial OPT (Neuro)Clear2026-02-052026-02-105,AAAbandon,F1Renewal,BeiJing,Initial OPT (Neuro),Clear,2026-02-05,2026-02-10,5,5,,1,,AAAbandon|F1Renewal|2026-02-05
Update速速下签！F1NewBeiJingMBAClear2026-02-102026-03-1230,速速下签！,F1New,BeiJing,MBA,Clear,2026-02-10,2026-03-12,30,30,,1,,速速下签！|F1New|2026-02-10
Update拽啊赶紧过F1RenewalBeiJingBiomedical SciencePending2026-02-130000-00-0042,拽啊赶紧过,F1Renewal,BeiJing,Biomedical Science,Pending,2026-02-13,0000-00-00,42,,42,1,,拽啊赶紧过|F1Renewal|2026-02-13
Update很难说想不F1RenewalBeiJingImmunologyClear2026-02-052026-03-2043,很难说想不,F1Renewal,BeiJing,Immunology,Clear,2026-02-05,2026-03-20,43,43,,1,,很难说想不|F1Renewal|2026-02-05
Updateclear_soonF1RenewalBeiJingCS STEM OPTPending2026-02-130000-00-0042,clear_soon,F1Renewal,BeiJing,CS STEM OPT,Pending,2026-02-13,0000-00-00,42,,42,1,,clear_soon|F1Renewal|2026-02-13
Updatewaterbuffalo1F1RenewalHongKongCS OPTClear2026-02-232026-02-241,waterbuffalo1,F1Renewal,HongKong,CS OPT,Clear,2026-02-23,2026-02-24,1,1,,1,,waterbuffalo1|F1Renewal|2026-02-23
Update求个五年签F1NewWuHanMBA/Chemistry PHD backgroPending2026-02-240000-00-0031,求个五年签,F1New,WuHan,MBA/Chemistry PHD backgro,Pending,2026-02-24,0000-00-00,31,,31,1,,求个五年签|F1New|2026-02-24
Update测试F1NewShangHaiN/APending2026-02-240000-00-0031,测试,F1New,ShangHai,N/A,Pending,2026-02-24,0000-00-00,31,,31,1,,测试|F1New|2026-02-24
Update记录一下F1RenewalGuangZhouComputer Engineering (ComPending2026-02-240000-00-0031,记录一下,F1Renewal,GuangZhou,Computer Engineering (Com,Pending,2026-02-24,0000-00-00,31,,31,1,,记录一下|F1Renewal|2026-02-24
UpdateQQF1RenewalBeiJingBio OPTClear2026-02-262026-03-0911,QQ,F1Renewal,BeiJing,Bio OPT,Clear,2026-02-26,2026-03-09,11,11,,1,,QQ|F1Renewal|2026-02-26
Update只要下签让F1NewBeiJingCSPending2026-02-230000-00-0032,只要下签让,F1New,BeiJing,CS,Pending,2026-02-23,0000-00-00,32,,32,1,,只要下签让|F1New|2026-02-23
Update还我机票F1NewShenYangMFEPending2026-02-120000-00-0043,还我机票,F1New,ShenYang,MFE,Pending,2026-02-12,0000-00-00,43,,43,1,,还我机票|F1New|2026-02-12
UpdateBoyNextDoorF1RenewalWuHanCSPending2026-02-100000-00-0045,BoyNextDoor,F1Renewal,WuHan,CS,Pending,2026-02-10,0000-00-00,45,,45,1,,BoyNextDoor|F1Renewal|2026-02-10
UpdateMatrixF1RenewalBeiJingBiophysicsClear2026-02-052026-03-1942,Matrix,F1Renewal,BeiJing,Biophysics,Clear,2026-02-05,2026-03-19,42,42,,1,,Matrix|F1Renewal|2026-02-05
UpdateYourOpenClawF1RenewalBeiJingComputational Biology (STPending2026-02-120000-00-0043,YourOpenClaw,F1Renewal,BeiJing,Computational Biology (ST,Pending,2026-02-12,0000-00-00,43,,43,1,,YourOpenClaw|F1Renewal|2026-02-12
Update不要担心F1NewBeiJingMBAReject2026-02-232026-03-2328,不要担心,F1New,BeiJing,MBA,Reject,2026-02-23,2026-03-23,28,28,,1,,不要担心|F1New|2026-02-23
Update明天下签F1RenewalGuangZhouEnvironmental SciencesPending2026-02-130000-00-0042,明天下签,F1Renewal,GuangZhou,Environmental Sciences,Pending,2026-02-13,0000-00-00,42,,42,1,,明天下签|F1Renewal|2026-02-13
Updatepret2mono@gmailF1NewBeiJingstemPending2026-02-200000-00-0035,pret2mono@gmail,F1New,BeiJing,stem,Pending,2026-02-20,0000-00-00,35,,35,1,,pret2mono@gmail|F1New|2026-02-20
Update丝滑过了，F1NewBeiJingCS PhDClear2026-03-112026-03-121,丝滑过了，,F1New,BeiJing,CS PhD,Clear,2026-03-11,2026-03-12,1,1,,1,,丝滑过了，|F1New|2026-03-11
UpdatecapooF1NewHongKongearth sciencePending2026-03-130000-00-0014,capoo,F1New,HongKong,earth science,Pending,2026-03-13,0000-00-00,14,,14,1,,capoo|F1New|2026-03-13
UpdatedddddF1NewBeiJingMBAPending2026-03-030000-00-0024,ddddd,F1New,BeiJing,MBA,Pending,2026-03-03,0000-00-00,24,,24,1,,ddddd|F1New|2026-03-03
UpdatesuperdupernoodlF1NewBeiJingMBAClear2026-03-032026-03-2623,superdupernoodl,F1New,BeiJing,MBA,Clear,2026-03-03,2026-03-26,23,23,,1,,superdupernoodl|F1New|2026-03-03
UpdateEQ8651914F1NewBeiJingfinanceClear2026-03-032026-03-1916,EQ8651914,F1New,BeiJing,finance,Clear,2026-03-03,2026-03-19,16,16,,1,,EQ8651914|F1New|2026-03-03
Update一起加油F1NewBeiJingCSClear2026-03-092026-03-178,一起加油,F1New,BeiJing,CS,Clear,2026-03-09,2026-03-17,8,8,,1,,一起加油|F1New|2026-03-09
UpdatemszF1NewBeiJingComputer SciencePending2026-03-250000-00-002,msz,F1New,BeiJing,Computer Science,Pending,2026-03-25,0000-00-00,2,,2,1,,msz|F1New|2026-03-25
UpdateDDDDDF1NewBeiJingDynamicsClear2026-03-202026-03-277,DDDDD,F1New,BeiJing,Dynamics,Clear,2026-03-20,2026-03-27,7,7,,1,,DDDDD|F1New|2026-03-20
Update阿谦F1NewBeiJingComputer EngineeringPending2026-03-230000-00-004,阿谦,F1New,BeiJing,Computer Engineering,Pending,2026-03-23,0000-00-00,4,,4,1,,阿谦|F1New|2026-03-23
Update早日下签！F1NewHongKongMEPending2026-03-050000-00-0022,早日下签！,F1New,HongKong,ME,Pending,2026-03-05,0000-00-00,22,,22,1,,早日下签！|F1New|2026-03-05
Update5511F1NewBeiJingMechanical Engineering PhPending2026-03-090000-00-0018,5511,F1New,BeiJing,Mechanical Engineering Ph,Pending,2026-03-09,0000-00-00,18,,18,1,,5511|F1New|2026-03-09
UpdateROOKIEF1NewShenYangCSPending2026-03-030000-00-0024,ROOKIE,F1New,ShenYang,CS,Pending,2026-03-03,0000-00-00,24,,24,1,,ROOKIE|F1New|2026-03-03
Update202603F1F1NewBeiJingEEPending2026-03-050000-00-0022,202603F1,F1New,BeiJing,EE,Pending,2026-03-05,0000-00-00,22,,22,1,,202603F1|F1New|2026-03-05
Update0310 F-1F1NewBeiJingMechanicalEngineering PhDPending2026-03-100000-00-0017,0310 F-1,F1New,BeiJing,MechanicalEngineering PhD,Pending,2026-03-10,0000-00-00,17,,17,1,,0310 F-1|F1New|2026-03-10
Update许愿5年签F1NewBeiJingSTEMClear2026-03-052026-03-094,许愿5年签,F1New,BeiJing,STEM,Clear,2026-03-05,2026-03-09,4,4,,1,,许愿5年签|F1New|2026-03-05
UpdateIainF1NewShenYangBusiness Administration (Pending2026-03-100000-00-0017,Iain,F1New,ShenYang,Business Administration (,Pending,2026-03-10,0000-00-00,17,,17,1,,Iain|F1New|2026-03-10
UpdatemmmmmF1RenewalBeiJingECEClear2025-11-052026-03-04119,mmmmm,F1Renewal,BeiJing,ECE,Clear,2025-11-05,2026-03-04,119,119,,1,,mmmmm|F1Renewal|2025-11-05
UpdatejxF1RenewalShangHaiIndustrial EngineeringClear2025-11-052026-03-05120,jx,F1Renewal,ShangHai,Industrial Engineering,Clear,2025-11-05,2026-03-05,120,120,,1,,jx|F1Renewal|2025-11-05
UpdateoceanF1NewBeiJingMEClear2025-11-032026-02-23112,ocean,F1New,BeiJing,ME,Clear,2025-11-03,2026-02-23,112,112,,1,,ocean|F1New|2025-11-03
Update0.0F1RenewalBeiJingMathematics-Computer ScieClear2025-11-072025-11-147,0.0,F1Renewal,BeiJing,Mathematics-Computer Scie,Clear,2025-11-07,2025-11-14,7,7,,1,,0.0|F1Renewal|2025-11-07
UpdatechenkF1RenewalBeiJingComputer SciencePending2025-11-030000-00-00144,chenk,F1Renewal,BeiJing,Computer Science,Pending,2025-11-03,0000-00-00,144,,144,1,,chenk|F1Renewal|2025-11-03
Update帕拉迪岛人F1NewBeiJingComputer Science Clear2025-11-072026-03-02115,帕拉迪岛人,F1New,BeiJing,Computer Science,Clear,2025-11-07,2026-03-02,115,115,,1,,帕拉迪岛人|F1New|2025-11-07
UpdateAA00F3143HF1RenewalBeiJingECEPending2025-11-200000-00-00127,AA00F3143H,F1Renewal,BeiJing,ECE,Pending,2025-11-20,0000-00-00,127,,127,1,,AA00F3143H|F1Renewal|2025-11-20
UpdatechanceusF1RenewalGuangZhouComputer ScienceClear2025-11-212026-02-2495,chanceus,F1Renewal,GuangZhou,Computer Science,Clear,2025-11-21,2026-02-24,95,95,,1,,chanceus|F1Renewal|2025-11-21
Update求求快下签F1RenewalShangHaiSoftware engineeringPending2025-11-240000-00-00123,求求快下签,F1Renewal,ShangHai,Software engineering,Pending,2025-11-24,0000-00-00,123,,123,1,,求求快下签|F1Renewal|2025-11-24
UpdateEthanF1NewGuangZhouBiomedical engineeringClear2025-11-182026-02-2599,Ethan,F1New,GuangZhou,Biomedical engineering,Clear,2025-11-18,2026-02-25,99,99,,1,,Ethan|F1New|2025-11-18
UpdatePASSF1RenewalBeiJingCSClear2025-11-032026-02-23112,PASS,F1Renewal,BeiJing,CS,Clear,2025-11-03,2026-02-23,112,112,,1,,PASS|F1Renewal|2025-11-03
Update幺幺哒F1NewBeiJingECEPending2025-11-040000-00-00143,幺幺哒,F1New,BeiJing,ECE,Pending,2025-11-04,0000-00-00,143,,143,1,,幺幺哒|F1New|2025-11-04
Update求下签求求F1NewOthersMEClear2025-11-052026-02-20107,求下签求求,F1New,Others,ME,Clear,2025-11-05,2026-02-20,107,107,,1,,求下签求求|F1New|2025-11-05
Update签证在手F1NewBeiJingEEClear2025-11-102026-03-06116,签证在手,F1New,BeiJing,EE,Clear,2025-11-10,2026-03-06,116,116,,1,,签证在手|F1New|2025-11-10
UpdatexhmaczjF1RenewalBeiJingComputer Science (PhD)Clear2025-11-252026-03-0297,xhmaczj,F1Renewal,BeiJing,Computer Science (PhD),Clear,2025-11-25,2026-03-02,97,97,,1,,xhmaczj|F1Renewal|2025-11-25
UpdateapproveeF1NewShangHaiCSPending2025-11-030000-00-00144,approvee,F1New,ShangHai,CS,Pending,2025-11-03,0000-00-00,144,,144,1,,approvee|F1New|2025-11-03
Updatejj痒F1RenewalBeiJingBiochemPending2025-11-250000-00-00122,jj痒,F1Renewal,BeiJing,Biochem,Pending,2025-11-25,0000-00-00,122,,122,1,,jj痒|F1Renewal|2025-11-25
Update什么时候轮F1NewOthersMEPending2025-11-060000-00-00141,什么时候轮,F1New,Others,ME,Pending,2025-11-06,0000-00-00,141,,141,1,,什么时候轮|F1New|2025-11-06
UpdatedjyyyF1NewGuangZhouecePending2025-11-070000-00-00140,djyyy,F1New,GuangZhou,ece,Pending,2025-11-07,0000-00-00,140,,140,1,,djyyy|F1New|2025-11-07
UpdatehhhhhhF1NewBeiJingCSClear2025-11-102026-03-02112,hhhhhh,F1New,BeiJing,CS,Clear,2025-11-10,2026-03-02,112,112,,1,,hhhhhh|F1New|2025-11-10
Update啊wc美国人�F1NewGuangZhouMech. Engineering Ph.D.Clear2025-11-072026-03-18131,啊wc美国人�,F1New,GuangZhou,Mech. Engineering Ph.D.,Clear,2025-11-07,2026-03-18,131,131,,1,,啊wc美国人�|F1New|2025-11-07
UpdateccyccF1RenewalGuangZhouECEClear2025-11-062026-02-25111,ccycc,F1Renewal,GuangZhou,ECE,Clear,2025-11-06,2026-02-25,111,111,,1,,ccycc|F1Renewal|2025-11-06
UpdateJJJJJJJJJF1RenewalGuangZhouOpticsClear2025-11-062026-02-23109,JJJJJJJJJ,F1Renewal,GuangZhou,Optics,Clear,2025-11-06,2026-02-23,109,109,,1,,JJJJJJJJJ|F1Renewal|2025-11-06
Update付不起房租F1RenewalShangHaiElectricl EngineeringPending2025-11-260000-00-00121,付不起房租,F1Renewal,ShangHai,Electricl Engineering,Pending,2025-11-26,0000-00-00,121,,121,1,,付不起房租|F1Renewal|2025-11-26
UpdateqiuhaoyunF1RenewalBeiJingcomputer sciencePending2025-11-030000-00-00144,qiuhaoyun,F1Renewal,BeiJing,computer science,Pending,2025-11-03,0000-00-00,144,,144,1,,qiuhaoyun|F1Renewal|2025-11-03
UpdateWISHPASS626F1RenewalShangHaiDBAClear2025-11-212026-01-0545,WISHPASS626,F1Renewal,ShangHai,DBA,Clear,2025-11-21,2026-01-05,45,45,,1,,WISHPASS626|F1Renewal|2025-11-21
Update无敌大胖虎F1NewGuangZhouCSClear2025-11-062026-02-27113,无敌大胖虎,F1New,GuangZhou,CS,Clear,2025-11-06,2026-02-27,113,113,,1,,无敌大胖虎|F1New|2025-11-06
Updatevisa plz :aughhF1RenewalGuangZhouECE(STEM OPT)Clear2025-11-212026-03-02101,visa plz :aughh,F1Renewal,GuangZhou,ECE(STEM OPT),Clear,2025-11-21,2026-03-02,101,101,,1,,visa plz :aughh|F1Renewal|2025-11-21
Update求你下签F1NewBeiJingcsPending2025-11-100000-00-00137,求你下签,F1New,BeiJing,cs,Pending,2025-11-10,0000-00-00,137,,137,1,,求你下签|F1New|2025-11-10
UpdateplzzzF1RenewalBeiJingCS(OPT)Pending2025-11-260000-00-00121,plzzz,F1Renewal,BeiJing,CS(OPT),Pending,2025-11-26,0000-00-00,121,,121,1,,plzzz|F1Renewal|2025-11-26
UpdateuupunaF1RenewalBeiJingComputer ScienceClear2025-11-202026-03-02102,uupuna,F1Renewal,BeiJing,Computer Science,Clear,2025-11-20,2026-03-02,102,102,,1,,uupuna|F1Renewal|2025-11-20
Update赶紧出签F1RenewalShangHaiCSClear2025-11-212026-03-05104,赶紧出签,F1Renewal,ShangHai,CS,Clear,2025-11-21,2026-03-05,104,104,,1,,赶紧出签|F1Renewal|2025-11-21
UpdateVisaplzF1NewBeiJingBiochemistry Clear2025-11-252026-03-0297,Visaplz,F1New,BeiJing,Biochemistry,Clear,2025-11-25,2026-03-02,97,97,,1,,Visaplz|F1New|2025-11-25
Update加速加速F1NewGuangZhouSTEMClear2025-11-192026-01-1254,加速加速,F1New,GuangZhou,STEM,Clear,2025-11-19,2026-01-12,54,54,,1,,加速加速|F1New|2025-11-19
UpdateYMCA快快出�F1RenewalGuangZhouRoboticsClear2025-11-202026-03-02102,YMCA快快出�,F1Renewal,GuangZhou,Robotics,Clear,2025-11-20,2026-03-02,102,102,,1,,YMCA快快出�|F1Renewal|2025-11-20
UpdateuuuF1RenewalBeiJingCS PhDClear2025-11-172026-03-02105,uuu,F1Renewal,BeiJing,CS PhD,Clear,2025-11-17,2026-03-02,105,105,,1,,uuu|F1Renewal|2025-11-17
Update球球F1NewBeiJingbiologyClear2025-11-032026-02-24113,球球,F1New,BeiJing,biology,Clear,2025-11-03,2026-02-24,113,113,,1,,球球|F1New|2025-11-03
UpdateyeyeF1NewOthersMechanicsPending2025-11-240000-00-00123,yeye,F1New,Others,Mechanics,Pending,2025-11-24,0000-00-00,123,,123,1,,yeye|F1New|2025-11-24
Update球球了F1RenewalGuangZhouCSClear2025-11-032026-03-19136,球球了,F1Renewal,GuangZhou,CS,Clear,2025-11-03,2026-03-19,136,136,,1,,球球了|F1Renewal|2025-11-03
UpdateGloryF1RenewalGuangZhouComputer ScienceClear2025-11-182026-02-2599,Glory,F1Renewal,GuangZhou,Computer Science,Clear,2025-11-18,2026-02-25,99,99,,1,,Glory|F1Renewal|2025-11-18
Update攒攒好运F1RenewalGuangZhouCS PhDClear2025-11-212026-02-2091,攒攒好运,F1Renewal,GuangZhou,CS PhD,Clear,2025-11-21,2026-02-20,91,91,,1,,攒攒好运|F1Renewal|2025-11-21
UpdateUseikiF1RenewalShangHaiMAEClear2025-11-262026-03-08102,Useiki,F1Renewal,ShangHai,MAE,Clear,2025-11-26,2026-03-08,102,102,,1,,Useiki|F1Renewal|2025-11-26
Update下签下签F1RenewalShangHaistem-bioClear2025-11-172026-02-26101,下签下签,F1Renewal,ShangHai,stem-bio,Clear,2025-11-17,2026-02-26,101,101,,1,,下签下签|F1Renewal|2025-11-17
Update刘贝贝F1RenewalShenYangMechanical EngineeringClear2025-11-242026-02-2391,刘贝贝,F1Renewal,ShenYang,Mechanical Engineering,Clear,2025-11-24,2026-02-23,91,91,,1,,刘贝贝|F1Renewal|2025-11-24
Update开学前下签F1NewGuangZhouBIOPending2025-11-060000-00-00141,开学前下签,F1New,GuangZhou,BIO,Pending,2025-11-06,0000-00-00,141,,141,1,,开学前下签|F1New|2025-11-06
UpdateTylerzF1NewBeiJingMSEClear2025-11-072026-02-26111,Tylerz,F1New,BeiJing,MSE,Clear,2025-11-07,2026-02-26,111,111,,1,,Tylerz|F1New|2025-11-07
Updateobj_barrierF1RenewalBeiJingCSClear2025-11-202026-03-03103,obj_barrier,F1Renewal,BeiJing,CS,Clear,2025-11-20,2026-03-03,103,103,,1,,obj_barrier|F1Renewal|2025-11-20
UpdategaiaF1RenewalShenYangComputer EngineeringClear2025-11-262026-03-0397,gaia,F1Renewal,ShenYang,Computer Engineering,Clear,2025-11-26,2026-03-03,97,97,,1,,gaia|F1Renewal|2025-11-26
Update身经百战，F1RenewalBeiJingComputational MathClear2025-11-172026-03-02105,身经百战，,F1Renewal,BeiJing,Computational Math,Clear,2025-11-17,2026-03-02,105,105,,1,,身经百战，|F1Renewal|2025-11-17
Updateyy353F1RenewalShangHaiECEClear2025-11-212026-03-10109,yy353,F1Renewal,ShangHai,ECE,Clear,2025-11-21,2026-03-10,109,109,,1,,yy353|F1Renewal|2025-11-21
